,Momentum Punch,Benchmark,100% BOVA11,60% BOVA11 / 40% CDI,Pesos iguais entre ETFs,ESG estática (ISUS11/GOVE11/REVE11),40% BOVA11 / 40% IVVB11 / 20% CDI
2021-11-16,1.0,0.9897185317411128,0.9826691795685214,0.9897185317411128,0.992545662392236,0.9958378233334741,0.9972826841857805
2021-11-17,0.9989918906314548,0.9832664679414412,0.9718006723698256,0.9832664679414412,0.9825383671159686,0.9861218905173388,0.9956971164437177
2021-11-18,0.999974592693208,0.9798150346913808,0.9659258217847199,0.9798150346913808,0.9808491968704734,0.9858485915122035,0.995768630398899
2021-11-19,1.0037492956106477,0.9836244590263713,0.9719964683514586,0.9836244590263713,0.990703276053557,0.9969890464604245,1.0007507051400049
2021-11-22,1.0017031568021986,0.9776160730332693,0.9619112944848508,0.9776160730332693,0.9819526607213125,0.9886956953714982,0.9956495449804162
2021-11-23,1.0018583718773264,0.9882390672408901,0.9791442542769023,0.9882390672408901,0.9901263717902699,0.9937645445099195,1.0025082060523776
2021-11-24,1.0031942088355683,0.9922681633500061,0.9856066422124633,0.9922681633500061,0.9955370634733267,0.9988190144008304,1.0062811282767898
2021-11-25,1.0057638536541447,1.0002506297821632,0.9986292040202346,1.0002506297821632,1.0060105640021673,1.008430674114092,1.0106598001064084
2021-11-26,1.004708932493783,0.9791838367560805,0.9633800258068219,0.9791838367560805,0.9868654675514738,0.9947075190348911,0.9874578863558989
2021-11-29,1.0029043437944904,0.9830006099791154,0.9694507470763389,0.9830006099791154,0.9891582197611111,0.9956994372614791,0.9968671573645839
2021-11-30,0.9993112617141964,0.9791840176041547,0.9629883591407777,0.9791840176041547,0.9764756446020814,0.9808899661891293,0.9894234783331548
2021-12-01,0.9976563103654841,0.971771768991505,0.9506511206201108,0.971771768991505,0.9686209431068783,0.9745585473201592,0.982224453515584
2021-12-02,1.002675591278414,0.991943508064919,0.9833545775584039,0.991943508064919,0.9921869126435493,0.9949971515142902,0.9986141855330187
2021-12-03,1.0001549170801671,0.9973338844769478,0.9920689554452462,0.9973338844769478,0.9922282705056903,0.9921132671612862,0.9995115896262051
2021-12-06,1.004051386589566,1.0073727514438686,1.0085185819052094,1.0073727514438686,1.0091917988563062,1.009245229705549,1.0132470541369745
2021-12-07,1.0128957341184084,1.0111875823098855,1.0146871638141537,1.0111875823098855,1.0167953789909285,1.0173261978275148,1.0201662679349022
2021-12-08,1.0112015126854683,1.0146430377600224,1.0202682830754213,1.0146430377600224,1.0189605400159454,1.0183493746821646,1.0180783761652596
2021-12-09,0.9978040793523743,1.0027485859252798,1.000097935342206,1.0027485859252798,1.003147861177208,1.0039892525360203,1.0088364583382745
2021-12-10,1.007325084316242,1.0122537809209589,1.0156663678306534,1.0122537809209589,1.0150599348450942,1.0146756696911954,1.0210321477820936
2021-12-13,1.0010803942000546,1.0110477814481034,1.013414303176594,1.0110477814481034,1.0115215785539797,1.010709603279525,1.0213066428285358
2021-12-14,0.9985071090473335,1.0064993779114384,1.0055811192612678,1.0064993779114384,1.0033231706843082,1.0023912602075797,1.0163333852224354
2021-12-15,1.0003245597782708,1.0095793924143157,1.0104768405326523,1.0095793924143157,1.0088385375871076,1.008111521910561,1.0243535319706396
2021-12-16,1.0015843057338167,1.016822033162285,1.0223245517478476,1.016822033162285,1.0162275474872768,1.014016442575387,1.028482317387043
2021-12-17,1.0008428327925436,1.0093086862428688,1.0094977112189312,1.0093086862428688,1.0082343317266158,1.0076228773289118,1.0182771728925473
2021-12-20,0.9953883710507411,0.9971140775733722,0.9889356968196719,0.9971140775733722,0.9907980217986095,0.9912298389159565,1.0093271856882744
2021-12-21,0.9974314467811791,0.9997405105811666,0.9930480847589683,0.9997405105811666,0.9933810215959425,0.9933013636710005,1.0182274687382495
2021-12-22,0.9998758662103495,0.9999386277265206,0.9931460201011737,0.9999386277265206,0.995695535970795,0.9963544819333591,1.0168283809681882
2021-12-23,1.0106524499243539,0.9966468773475804,0.9874669654977009,0.9966468773475804,0.9972289569274764,1.0002995300825686,1.0178947083578198
2021-12-27,1.0154581214495386,1.0012325178529695,0.9948105474047776,1.0012325178529695,1.0034547359017623,1.0061464568345828,1.0237347806042214
