Data,stress_index
2020-08-28,0.3410134852006004
2020-08-31,0.2456998988654242
2020-09-01,0.30568990952539055
2020-09-02,0.3577460277234623
2020-09-03,0.3322254747707754
2020-09-04,0.33457563938620616
2020-09-08,0.21411595307585055
2020-09-09,0.24581953232779408
2020-09-10,0.292226900790989
2020-09-11,0.36913494426475907
2020-09-14,0.36713990769069654
2020-09-15,0.4013927412483066
2020-09-16,0.3990494997649332
2020-09-17,0.3920849961560562
2020-09-18,0.7752987077248052
2020-09-21,0.8683352748895061
2020-09-22,0.842360453594523
2020-09-23,0.8739470636309532
2020-09-24,0.846250325286619
2020-09-25,0.7698386291253116
2020-09-28,0.7642284481195369
2020-09-29,0.743704294604846
2020-09-30,0.7101584681783141
2020-10-01,0.5833305535766001
2020-10-02,0.6144815155636281
2020-10-05,0.6774468698760698
2020-10-06,0.793400845864151
2020-10-07,0.7632053356338038
2020-10-08,0.7760314675565367
2020-10-09,0.5892375344171189
2020-10-13,0.5625531838783835
2020-10-14,0.49345082291121345
2020-10-15,0.46067520672249973
2020-10-16,0.5390756510315126
2020-10-19,0.545917528600178
2020-10-20,0.5705794681022092
2020-10-21,0.5604163986708866
2020-10-22,0.5656050269652048
2020-10-23,0.7026314974797232
2020-10-26,0.6238298456114639
2020-10-27,0.6482652866532295
2020-10-28,0.6541872072770347
2020-10-29,0.8503113007485031
2020-10-30,0.9385954555636693
2020-11-03,0.9175594988689844
2020-11-04,0.9064828091407436
2020-11-05,0.8862342017546949
2020-11-06,0.8694491921447844
2020-11-09,0.8105957752810814
2020-11-10,0.845445240527974
2020-11-11,0.8438926879955628
2020-11-12,0.83745322955544
2020-11-13,0.8886670297855706
2020-11-16,0.866995937589848
2020-11-17,0.839871221975726
2020-11-18,0.8305523628094797
2020-11-19,0.8027908507346797
2020-11-20,0.7372248714418795
2020-11-23,0.7311526868347311
2020-11-24,0.7382216641388938
2020-11-25,0.7451913365647644
2020-11-26,0.7457781248462121
2020-11-27,0.7854179013513629
2020-11-30,0.8479086534998521
2020-12-01,0.9171502384653661
2020-12-02,0.9089393349683781
2020-12-03,0.8983884772855608
2020-12-04,0.8457043909152122
2020-12-07,0.8310043885607614
2020-12-08,0.8138387023335643
2020-12-09,0.8053061938194905
2020-12-10,0.8565554075322503
2020-12-11,0.8385599334848588
2020-12-14,0.8610781176604191
2020-12-15,0.8009205613619661
2020-12-16,0.8042514940022976
2020-12-17,0.7965970796217414
2020-12-18,0.7935097560782066
2020-12-21,0.789825734372032
2020-12-22,0.7863246649216724
2020-12-23,0.7888952940007521
2020-12-24,0.7822967935119136
2020-12-28,0.7983211723919684
2020-12-29,0.7688098538189785
2020-12-30,0.7485431779248475
2020-12-31,0.7341864954494552
2021-01-04,0.7441095734120938
2021-01-05,0.7088160784127949
2021-01-06,0.7039300417197691
