CNPJ_Companhia,Nome_Companhia,Codigo_CVM,Data_Referencia,Categoria,Tipo,Especie,Assunto,Data_Entrega,Tipo_Apresentacao,Protocolo_Entrega,Versao,Link_Download
42.500.384/0001-51,SERENA ENERGIA S.A.,26441,2025-10-03,Fato Relevante,,,Oferta Pública de Aquisição de Ações,2025-10-03,AP - Apresentação,026441IPE031020250196369237-19,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1429515&numSequencia=954227&numVersao=1
42.500.384/0001-51,SERENA ENERGIA S.A.,26441,2025-10-17,Fato Relevante,,,Parecer de Oferta Pública de Aquisição de Ações,2025-10-17,AP - Apresentação,026441IPE171020250105957202-08,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1433523&numSequencia=958235&numVersao=1
42.500.384/0001-51,SERENA ENERGIA S.A.,26441,2025-11-04,Fato Relevante,,,Divulgação do Resultado do Leilão da OPA para Conversão de Registro e Saída do Novo Mercado,2025-11-05,AP - Apresentação,026441IPE041120250165367657-90,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1439775&numSequencia=964487&numVersao=1
42.500.384/0001-51,SERENA ENERGIA S.A.,26441,2025-11-13,Fato Relevante,,,Conversão de Registro,2025-11-13,AP - Apresentação,026441IPE131120250125394021-50,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1445031&numSequencia=969743&numVersao=1
42.500.384/0001-51,SERENA ENERGIA S.A.,26441,2025-12-04,Fato Relevante,,,Fato Relevante - Resgate Compulsório das Ações Ordinárias,2025-12-04,AP - Apresentação,026441IPE041220250183822712-08,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1452997&numSequencia=977709&numVersao=1
42.500.384/0001-51,SERENA ENERGIA S.A.,26441,2025-12-31,Fato Relevante,,,Plano de investimento para conclusão do Projeto Goodnight 2.,2025-12-31,AP - Apresentação,026441IPE311220250153838249-97,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1462887&numSequencia=987593&numVersao=1
42.644.220/0001-06,ÁGUAS DO RIO 4 SPE S.A.,26743,2025-03-17,Fato Relevante,,,Antecipação dos Resultados de 2024,2025-03-17,AP - Apresentação,026743IPE170320250104573312-01,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1347812&numSequencia=872538&numVersao=1
42.737.954/0001-21,"INTER & CO, INC.",80217,2025-02-06,Fato Relevante,,,Pagamento de Dividendos,2025-02-06,AP - Apresentação,080217IPE060220250104569405-58,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1330990&numSequencia=855716&numVersao=1
42.737.954/0001-21,"INTER & CO, INC.",80217,2025-02-06,Fato Relevante,,,Pagamento de Dividendos,2025-02-06,AP - Apresentação,080217IPE060220250104569405-58,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1330990&numSequencia=855716&numVersao=1
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,24058,2025-02-24,Fato Relevante,,,Contrato de Compra e Venda de Ac¸o~es e Outras Avenc¸as - CURA,2025-02-24,AP - Apresentação,024058IPE240220250104571205-91,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1338386&numSequencia=863112&numVersao=1
