Data,Selic_std,Selic_mediana,IPCA_std,IPCA_mediana
2024-12-16,0.859275,13.41015625,0.114082,0.360824
2024-12-17,0.872375,13.48640625,0.113152,0.36315800000000004
2024-12-18,0.899615625,13.51078125,0.113094,0.36473599999999995
2024-12-19,0.8933687499999999,13.54984375,0.11219,0.364624
2024-12-20,0.90084375,13.80078125,0.108554,0.376892
2024-12-23,0.882490625,13.8653125,0.10725,0.380156
2024-12-24,0.89301875,13.873125,0.107242,0.380616
2024-12-26,0.8630156250000001,13.87015625,0.107624,0.381272
2024-12-27,0.844384375,13.87109375,0.10592800000000001,0.379486
2024-12-30,0.79165625,13.87890625,0.107546,0.376454
2024-12-31,0.7891343749999999,13.86328125,0.10721,0.375308
2025-01-02,0.772178125,13.890625,0.106482,0.374938
2025-01-03,0.812484375,13.890625,0.10666,0.37345
2025-01-06,0.782096875,13.8828125,0.10867399999999999,0.37233400000000005
2025-01-07,0.764134375,13.8515625,0.107032,0.371236
2025-01-08,0.765515625,13.828125,0.106794,0.370394
2025-01-09,0.75823125,13.81640625,0.10653,0.371288
2025-01-10,0.785484375,13.890625,0.110128,0.377614
2025-01-13,0.78033125,13.90625,0.106344,0.380054
2025-01-14,0.772596875,13.9296875,0.10622400000000001,0.38083399999999995
2025-01-15,0.759815625,13.9453125,0.10648400000000001,0.38270200000000004
2025-01-16,0.7732625,13.98046875,0.107166,0.383778
2025-01-17,0.8166,13.9765625,0.10778599999999999,0.37918599999999997
2025-01-20,0.8130375,13.98046875,0.116296,0.37898200000000004
2025-01-21,0.816484375,13.98046875,0.11454,0.38158000000000003
2025-01-22,0.839353125,13.9453125,0.112552,0.381534
2025-01-23,0.834234375,13.96875,0.110348,0.383868
2025-01-24,0.8061375,14.101571875,0.10951000000000001,0.39806800000000003
2025-01-27,0.812446875,14.117190625,0.108454,0.39945
2025-01-28,0.809153125,14.128909375,0.108946,0.39949799999999996
2025-01-29,0.79718125,14.140634375,0.10956400000000001,0.399188
2025-01-30,0.828040625,14.132815625,0.109128,0.399474
2025-01-31,0.842046875,14.12110625,0.111502,0.39897999999999995
2025-02-03,0.8618375,14.05079375,0.11129,0.39551000000000003
2025-02-04,0.865121875,14.0547,0.10875399999999999,0.39724600000000004
2025-02-05,0.8582124999999999,14.0547,0.106826,0.39781999999999995
2025-02-06,0.86155625,14.12109375,0.105074,0.397748
2025-02-07,0.8261375,14.1484375,0.103446,0.39905999999999997
2025-02-10,0.81275,14.15234375,0.10867800000000001,0.39882599999999996
2025-02-11,0.80720625,14.140625,0.110226,0.42126800000000003
2025-02-12,0.805959375,14.14453125,0.11027200000000001,0.4211
2025-02-13,0.7987531250000001,14.1328125,0.11118399999999999,0.42017400000000005
2025-02-14,0.831496875,14.0859375,0.11583199999999999,0.418664
2025-02-17,0.796315625,14.08984375,0.110684,0.418826
2025-02-18,0.806221875,14.09375,0.111774,0.416496
2025-02-19,0.8127375,14.09375,0.112094,0.41518
2025-02-20,0.806275,14.12890625,0.11061,0.41775
2025-02-21,0.758221875,14.0625,0.110722,0.422314
2025-02-24,0.76626875,14.06640625,0.110842,0.423074
2025-02-25,0.765809375,14.0546875,0.11118399999999999,0.422064
2025-02-26,0.763790625,14.0546875,0.11003600000000001,0.422644
2025-02-27,0.762328125,14.04296875,0.110872,0.42248800000000003
2025-02-28,0.71275625,14.046875,0.10567399999999999,0.42176
2025-03-05,0.747615625,14.02734375,0.111036,0.41991599999999996
2025-03-06,0.750315625,14.0234375,0.112052,0.42174
2025-03-07,0.786565625,14.05859375,0.11863199999999999,0.41879599999999995
2025-03-10,0.778521875,14.0703125,0.116844,0.421162
2025-03-11,0.786778125,14.0359375,0.117378,0.42062
